,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
3123883,10:14:30.446000,6,False,False,297,118,21387,1490,cam0
3123919,10:14:32.245000,6,False,False,297,107,21387,1469,cam0
3123972,10:14:34.457000,6,False,False,340,297,128774,993,cam1
3123995,10:14:35.457000,6,False,False,384,272,128614,1174,cam1
3124107,10:14:41.257000,6,False,False,339,287,128774,1078,cam1
3124109,10:14:41.448000,6,False,False,386,277,128614,1159,cam1
3124143,10:14:42.954000,6,False,False,292,118,21448,1043,cam0
3124217,10:14:46.456000,6,False,False,386,277,128614,1159,cam1
3124341,10:14:52.455000,6,False,False,339,288,128774,1070,cam1
3124355,10:14:53.205000,6,False,False,337,104,107889,1398,cam2
3124421,10:14:55.909000,6,False,False,337,104,107889,1410,cam2
3124478,10:14:58.256000,6,False,False,381,107,21430,1389,cam0
3124593,10:15:03.456000,6,False,False,335,296,128774,866,cam1
3124693,10:15:08.453000,6,False,False,334,296,128774,866,cam1
3124746,10:15:11.247000,6,False,False,296,107,21387,1446,cam0
3124753,10:15:11.452000,6,False,False,381,107,21430,1389,cam0
3124778,10:15:12.754000,6,False,False,381,107,21430,1427,cam0
3124802,10:15:13.947000,6,False,False,386,279,128614,1150,cam1
3124857,10:15:16.751000,6,False,False,381,108,21430,1421,cam0
3124938,10:15:20.756000,6,False,False,332,294,128774,898,cam1
3124985,10:15:23.205000,6,False,False,337,106,107889,1430,cam2
3125109,10:15:29.253000,6,False,False,381,109,21430,1395,cam0
3125132,10:15:30.452000,6,False,False,385,277,128614,1167,cam1
3125141,10:15:30.949000,6,False,False,385,277,128614,1167,cam1
3125239,10:15:35.956000,6,False,False,335,295,128774,876,cam1
3125354,10:15:41.755000,6,False,False,385,277,128614,1175,cam1
3125377,10:15:43.247000,6,False,False,387,105,21462,1482,cam0
3125411,10:15:44.948000,6,False,False,298,104,21459,1452,cam0
3125601,10:15:55.255000,6,False,False,332,296,128774,866,cam1
3125680,10:16:00.448000,6,False,False,361,100,21467,1076,cam0
3125700,10:16:01.246000,6,False,False,389,285,128614,1117,cam1
3125717,10:16:01.949000,6,False,False,336,296,128774,866,cam1
3125782,10:16:05.444000,6,False,False,385,105,21470,1482,cam0
3125809,10:16:06.751000,6,False,False,334,295,128774,887,cam1
3125852,10:16:08.948000,6,False,False,387,282,128614,1134,cam1
3125856,10:16:09.208000,6,False,False,336,106,107900,1429,cam2
3125886,10:16:10.704000,6,False,False,335,106,107900,1429,cam2
3125914,10:16:11.951000,6,False,False,379,113,21470,1491,cam0
3125926,10:16:12.748000,6,False,False,380,114,21470,1485,cam0
3126077,10:16:21.248000,6,False,False,375,111,21470,1450,cam0
3126134,10:16:24.205000,6,False,False,335,106,107904,1429,cam2
3126152,10:16:24.955000,6,False,False,336,296,128774,866,cam1
3126202,10:16:27.952000,6,False,False,398,280,128614,1134,cam1
3126268,10:16:31.449000,6,False,False,299,105,21459,1464,cam0
3126331,10:16:34.504000,6,False,False,337,107,107904,1429,cam2
3126381,10:16:36.954000,6,False,False,390,108,21480,1482,cam0
3126403,10:16:38.246000,6,False,False,389,108,21480,1482,cam0
3126406,10:16:38.260000,6,False,False,391,281,128614,1116,cam1
3126447,10:16:40.449000,6,False,False,391,279,128614,1142,cam1
3126455,10:16:40.751000,6,False,False,344,292,128774,1023,cam1
3126518,10:16:43.946000,6,False,False,299,104,21459,1434,cam0
3126520,10:16:43.953000,6,False,False,391,280,128614,1116,cam1
3126528,10:16:44.454000,6,False,False,299,105,21459,1441,cam0
3126564,10:16:46.246000,6,False,False,341,292,128774,1023,cam1
3126587,10:16:47.449000,6,False,False,299,104,21459,1441,cam0
3126607,10:16:48.448000,6,False,False,299,105,21459,1441,cam0
3126653,10:16:50.749000,6,False,False,391,102,21480,1454,cam0
3126886,10:17:05.751000,6,False,False,341,288,128875,1070,cam1
3126909,10:17:07.204000,6,False,False,337,107,107904,1429,cam2
3126994,10:17:12.253000,6,False,False,337,296,128875,1023,cam1
3127007,10:17:12.953000,6,False,False,396,288,128614,1073,cam1
3127059,10:17:16.261000,6,False,False,392,282,128614,1125,cam1
3127070,10:17:16.953000,6,False,False,391,283,128614,1116,cam1
3127090,10:17:18.259000,6,False,False,393,287,128614,1081,cam1
3127158,10:17:22.454000,6,False,False,298,102,21484,1410,cam0
3127282,10:17:30.260000,6,False,False,337,293,128875,1022,cam1
3127284,10:17:30.409000,6,False,False,337,105,107904,1423,cam2
3127372,10:17:35.911000,6,False,False,336,106,107904,1423,cam2
3127444,10:17:41.775000,6,False,False,336,294,128875,1022,cam1
3127491,10:17:44.753000,6,False,False,388,284,128614,1107,cam1
3127613,10:17:51.750000,6,False,False,337,296,128875,983,cam1
3127621,10:17:52.259000,6,False,False,335,303,128875,900,cam1
3127661,10:17:54.449000,6,False,False,391,288,128614,1081,cam1
3127723,10:17:58.246000,6,False,False,299,106,21496,1470,cam0
3127751,10:17:59.953000,6,False,False,338,293,128875,1022,cam1
3127963,10:18:10.263000,6,False,False,388,291,128936,1063,cam1
3128028,10:18:14.209000,6,False,False,336,105,107904,1423,cam2
3128054,10:18:15.951000,6,False,False,297,108,21496,1469,cam0
3128061,10:18:16.209000,6,False,False,337,105,107904,1417,cam2
3128092,10:18:17.748000,6,False,False,296,110,21496,1498,cam0
3128105,10:18:18.454000,6,False,False,297,110,21496,1480,cam0
3128303,10:18:27.176000,6,False,False,397,293,128936,1055,cam1
3128436,10:18:33.475000,6,False,False,395,296,128936,1026,cam1
3128460,10:18:34.981000,6,False,False,425,128,128943,1388,cam1
3128524,10:18:39.252000,6,False,False,299,104,21559,1441,cam0
3128527,10:18:39.479000,6,False,False,393,289,128936,1081,cam1
3128541,10:18:40.457000,6,False,False,299,104,21559,1434,cam0
3128573,10:18:42.456000,6,False,False,299,104,21559,1441,cam0
3128624,10:18:45.477000,6,False,False,420,128,128943,1323,cam1
3128638,10:18:46.251000,6,False,False,268,87,21563,1259,cam0
3128702,10:18:49.485000,6,False,False,394,302,128936,946,cam1
3128708,10:18:49.702000,6,False,False,336,105,107936,1417,cam2
3128717,10:18:50.209000,6,False,False,337,105,107936,1404,cam2
